# dataset,Solution dataset URL,Solution name,Solution on-sentence summary,Identification,Label Date,By,From,Maturity stage,Looking For,Target client profile,Tags,Sectors,Youtube Video URL,The environmental benefits,The Financial benefits,Activity Region - Continent,Activity Region - Countries,Complementary solutions,Organization dataset URL
542,https://solarimpulse.com/solutions-explorer/aquaclim?queryID=e3d0a9013b0796a2f0996318d4335c81,AQUACLIM,An eco-friendly solution using cooling water beds for dairy cows,"The solution aims to increase the milk yield and the well-being of the cows and to recover the calories they release when they are lying down. By improving the milk yield by 3%, the solution makes it possible to reduce the dairy herd by 3% for the same production. Air pollution by ammonia and CO2 by livestock is thus reduced by 3%. The solution also recovers the calories emitted by the cow in the barn (kwh). AQUACLIM is a cooling water bed for dairy cows with climatized water pouch able to cool the cow and collect the zoothermal energy.

","March 24, 2021",Bioret Agri,France,Small scale commercialization,"Network, New clients, Visibility",BusinessFarming & AgricultureLivestock & Dairy,"Thermal insulation, Livestock, Cooling","Food/Agri, Heating, cooling and ventilationAnimal care",https://youtu.be/2nsDxbuTO8A,"770 kwh / cow / year recovered;55% of raw material coming from recycled components; ;For a same amount of milk production, 3% less animal needed;Consequence: 3% less NH3, CH4,...  (46% of NH3 emissions in France comes from bovine);","Return on investment for the farmer: 3 years  for a certified usage of 15 years, 110€/year/cow;2 years ROI with zoothermal energy option= 110 +77 = 187 €/year/cow;","Europe,North america","Denmark,Germany,France,Russia,Mexico,United States",Cycle Feed: Insect-based feed for West African tilapia farmers (Food & Agriculture);Agolin® Ruminant: A plant-based feed additive to reduce enteric methane emissions from ruminants (Food & Agriculture);NEXUS: An alternative for sustainable development of smallholder farmers and fisheries communities (Food & Agriculture);3Bee Hive-Tech: Artificial intelligence iot monitoring and diagnostic system for agriculture (Food & Agriculture);,/companies/view/bioret-agri
543,https://solarimpulse.com/solutions-explorer/energy-save?queryID=e3d0a9013b0796a2f0996318d4335c81,ENERGY SAVE,An iot energy management solution for industrial performance and maintenance efficiency,"Energy Save is a highly customizable IoT Energy Management Solution based on Artificial Intelligence, providing industry specific functional solutions for Monitoring, Reporting, Control and Automation. It is an advanced platform that offers the most sophisticated tools to boost energy efficiency, reduce operating costs and create more sustainable and environment friendly facilities. In addition, our IoT Energy Management Solution is designed and engineered to provide analysis of operational data, automated alerts and alarming, system events meeting application and operational requirements. The energy management dashboard is extremely easy to use while providing a range of innovative features needed to enhance professionals’ energy services. Energy Save is designed to reduce energy cost up to 30%, predicting maintenance needs, increasing the reliability of energy assets and reduce CO2 emission with a return on investment less than 1 year","March 24, 2021",DIDA MIND,Tunisia,Small scale commercialization,"Network, New clients, Visibility, Funding, Partners, Credibility",BusinessServicesBuildings Operators,"Algorithms & AI, Sensors & monitoring, Software, IoT, Manufacturing","Industry/Goods, Buildings, Energy and fuel efficiencyManufacturing and construction processes",https://youtu.be/BCr3rXk8jfc,Energy Save automatically identifies and quantifies energy-saving actions up to 30%;Cost only about 40% of common solutions;Rapid installation - less than 2 days;Reduces energy consumption up to 30% ;About 15% of natural resources are saved;,At least 30% of annual energy invoice saved;ROI could be less than 1 year;Reduction by 10% of energy grid maintenance operation costs;,Africa,Tunisia,"Heat recovery system: Low temperature heating of premises by recycling waste heat from refrigeration systems (Energy,Buildings & Shelters);animeo Connect : Facade shading management solution for increased energy savings in buildings (Buildings & Shelters);Claranor: Pulsed light packaging sterilization equipment for bioindustries (Industry & Consumer Goods);Recovering heat : Standardized, ready-to-install solution for supermarkets to heat buildings or water using waste heat (Buildings & Shelters);",/companies/view/dida-mind
544,https://solarimpulse.com/solutions-explorer/wase-biocentre?queryID=e3d0a9013b0796a2f0996318d4335c81,WASE Biocentre,Compact anaerobic-digestion systems for urban communities,"Globally 80% of wastewater is discharged into our environment untreated because of a high dependence on centralised solutions that are expensive and energy-intensive. WASE's Biocentre Solution unlocks the power of waste using a patent-pending 'waste-to-energy' technology. The Biocentres provide circular onsite waste management, allowing customers to generate energy from previously non-viable waste streams whilst also recovering water and nutrients to produce fertilisers. The Solution uses WASE's groundbreaking EMR technology that accelerates waste treatment and boosts energy production compared to biological solutions such as anaerobic digestion. Each biocentre has a remote monitoring and control system providing real-time diagnostics globally to optimise energy efficiency and reduce maintenance costs. The Biocentres can treat a variety of waste streams, including faecal sludge/sewage, food and drink manufacturing waste, and agricultural waste. This Solution is helping to reduce emissions, clean up water sources and generate a healthy environment for people to live in.","March 24, 2021",Wase,United Kingdom,Prototype testing in the real world,"Funding, Partners, Credibility","Public Authorities, Local NGO","Developing countries, Domestic & municipal wastewater, Waste-to-energy & fuels, Recycle waste, Containerized","Water, Energy, Waste/Pollution, Power and fuel generation, Wastewater management",https://youtu.be/EyTnMEPDTJE,"20% higher energy production compared to anaerobic digestion;Can treat waste up to 10 times faster than anaerobic digestion;Take up less than 30% of the space of anaerobic digesters;20% increase in bioenergy recovery compared to anaerobic digestion;Each unit can treat up to 5 tonnes of faecal sludge a day, recovering up to 490 kWh of energy in the form of biogas;Eeach unit can save 6 tonnes of carbon every year;",Payback in 3-4 years;Instant savings through service models and free trials;,"Europe,Africa","United Kingdom,Kenya","Renewable gas for industrial burners: Decentralized renewable solutions for process heat in industrial processes (Industry & Consumer Goods,Energy);Stirling Engine: Stirling engine modules to generate clean electricity from waste heat locally (Energy,Industry & Consumer Goods);OSMOSUN: A sustainable, flexible energy source for affordable and renewable water for all (Water);REM: A novel acid regeneration system for steel pickling (Waste & Pollution,Water,Industry & Consumer Goods);",/companies/view/wase
545,https://solarimpulse.com/solutions-explorer/maxeff-induction-motor-generator?queryID=e3d0a9013b0796a2f0996318d4335c81,Maxeff Induction Motor Generator,Industrial induction drive systems: resolving the power factor issue,"Maxeff Induction Motor Generator provides an induction motor efficiency option never before experienced. The Solution has a secondary winding circuit that regenerates negative VAR into leading induction power, therefore, reducing the amount of power needed from external power sources by as much as 35%. This reduction in power positively impacts the environment as induction drive motors consume 45-50% of the world's power = 6040 Mt CO2 emissions per year. EU countries measure motor efficiency according to the IEC 60034-30-1:2014, the level of efficiency current benchmarked is the IE3 level with an IE4 solution available. The Solution exceeds the IE4 level by as much as 25%.","March 24, 2021",Adventech,United States,Small scale commercialization,"Network, New clients, Visibility, Funding, Partners, Credibility","BusinessManufacturingAircrafts & Airplanes, BusinessManufacturingAutomotives & Road Vehicles
, BusinessManufacturingBatteries & Battery Parts, BusinessManufacturingBeverages, BusinessManufacturingChemicals & Pharmaceuticals, BusinessManufacturingComputers & Other Electronics, BusinessManufacturingFood Products, BusinessManufacturingFurniture & Home Accessories, BusinessManufacturingHome Appliances, BusinessManufacturingLeather, BusinessManufacturingMachinery & Turbines, BusinessManufacturingMetals & Steel, BusinessManufacturingMinerals & Concrete
, BusinessManufacturingPaper Products
, BusinessManufacturingPetroleum & Coke Products
, BusinessManufacturingPlastics, BusinessManufacturingShips, Cargo & Boats Manufacturer, BusinessManufacturingSolar Panels, BusinessManufacturingTextiles & Clothes, BusinessManufacturingWood Products, BusinessManufacturingOther, BusinessWater Utility, BusinessServicesBuildings Operators",Motors,"Industry/Goods, Manufacturing and construction processes",,"Reduces power grid dependency by as much as 30% when compared to a conventional induction drive motor;Thanks to its internal regeneration unit (2nd winding), a leading induction power source is created that can be called by other induction motors on the same circuit, making other conventional induction motors more efficient and less grid-dependent;The Solution is equally recyclable as all other motors in the market, making its environmental impact (manufacturing, recyclability) more attractive due to improved efficiency;85% recycled;30% reduction in CO2 emission;35% reduction in electrical grid dependency;","Less than 1 year payback;15% less expensive to manufacture than SynRM Motors;0 cost to application regarding footprint reconfiguration for fit, form and function;","Asia,Africa,North america,South america","Philippines,India,South Africa,United States,Jamaica,Canada,Colombia","Claranor: Pulsed light packaging sterilization equipment for bioindustries (Industry & Consumer Goods);RT7000: A machine to chemically recycle plastic waste back into oil (Industry & Consumer Goods,Waste & Pollution);Aluminium recycling system: An aluminium melting and recycling furnace powered by renewable biomass briquettes (Industry & Consumer Goods);Nexelia: Iron melting by supersonic oxygen injection into shaft furnaces for the metal industry (Industry & Consumer Goods);",/companies/view/adventech
546,https://solarimpulse.com/solutions-explorer/panepowersw?queryID=e3d0a9013b0796a2f0996318d4335c81,PanePowerSW,Sustainable greenhouse farming for the growing population,"The world population is estimated to reach 9.7 billion by 2050 according to forecasts from the United Nations. This will make the sustainable management of food, energy and water more critical than ever. Greenhouse farming can be a solution for the increasing food demands. However, greenhouse operation requires energy for heating, cooling, ventilation and pumping, which represent 25% to 28% of the total operating costs and has an adverse environmental impact. PanePoweSW is an innovative solar glass technology that utilizes a combination of spectrum shifting nanomaterials with mono-crystalline silicon solar cells. Contrary to other PV solutions, PanePowerSW is an over 80% transparent solar glass that generates clean energy, reduces energy costs, and, more importantly allows the light to pass through it without affecting photosynthesis, making it ideal for greenhouse applications","March 24, 2021",Brite Hellas S.A.,Greece,Prototype testing in the real world,"Visibility, Funding, Network, New clients, Partners",BusinessFarming & AgricultureCrops,"Greenhouse, Agrivoltaics, Solar photovoltaic","Energy, Food/Agri, Power and fuel generation",https://youtu.be/DjCkJMPavuE,"10% better solar cell performance;3% better photosythetic active radiation;47,3MWh of electricity produced per year for every 1000m2 deployed (Europe);14 tonnes CO2 emissions reduction per year for every 1000m2 deployed (Europe);",Average of 4 - 5 years payback time ;10 000 euro savings per year for every 1000m2 deployed (Europe);,Europe,"Netherlands,Greece","Renewable gas for industrial burners: Decentralized renewable solutions for process heat in industrial processes (Industry & Consumer Goods,Energy);Stirling Engine: Stirling engine modules to generate clean electricity from waste heat locally (Energy,Industry & Consumer Goods);SEAB Energy - Flexibuster: A small-scale modular container for transforming organic waste into energy (Energy,Waste & Pollution,Food & Agriculture);PowerCorner: Mini-grids for affordable, reliable, sustainable energy-services for rural and off-grid populations (Energy);",/companies/view/brite-hellas-s-a
547,https://solarimpulse.com/solutions-explorer/arqlite-smart-gravel?queryID=e3d0a9013b0796a2f0996318d4335c81,Arqlite Smart Gravel,Turning unrecyclable plastic to highly efficient materials for the built environment,"Arqlite provides a solution to the up-to-now unrecyclable plastics currently sent to landfills, incinerated or dumped, contaminating our land, rivers, and oceans. Arqlite proprietary technology is unique as it offers a sustainable alternative to waste generators, both private companies and municipalities, at a cost comparable to landfill tipping fees.

This innovative product is destined to be one of many of Arqlite's large-scale solutions for plastic pollution. Arqlite Smart Gravel is one of the first commodity ever, made 100% from mixed plastic waste. Mining landfills instead of mountains, this product takes the best of plastic polymers and generates a filler, three times lighter and ten times better insulator compared to mineral gravel. Proven long-lasting and safe for the environment, this sustainable material is highly appreciated by the Civil Engineering industry, Concrete Mix companies, Precast manufacturers, Landscapers, and Hydroponic growers, among many others.","March 22, 2021",Arqlite,United States,Medium and large scale commercialization,"Network, New clients, Visibility, Funding, Partners, Credibility","Public Authorities, BusinessFarming & AgricultureCrops, BusinessConstruction, BusinessManufacturingMinerals & Concrete
, BusinessServicesInfrastructureUrban Planning
, BusinessServicesWaste & Remediation","Lightweight, Thermal insulation, Composites, Waste-to-materials, Recycle waste","Waste/Pollution, Materials and chemicals, Solid waste management",https://youtu.be/8iXzM3uGn6Q,"Arqlite 750lbs /Cubic Yard vs. Mineral Gravel 3,000lbs /Cubic yard - induces lower transportation costs and installation times that can be cut in half;Plastics have been stabilized into a new finished product, making it inert and thus safe for water and the environment;One ton of Arqlite Smart Gravel = One ton of plastics deviated from the environment;Doesn't discard any water or other pollutants during the manufacturing process;Helps reduce transport contamination and increase insulation in buildings, reducing the carbon footprint caused by AC and heating;","Arqlite offers a competitive price compared to existing products, while its lower weight generates savings in transport, handling and installation;Using Arqlite Smart Gravel adds points to many green building certifications, multiplying the value of new projects;Arqlite processes mixed plastics at a 1ton/hour rate and at a competitive cost compared to landfill tipping fees, making it a low cost, scalable solution;","North america,South america","United States,Argentina","SEAB Energy - Flexibuster: A small-scale modular container for transforming organic waste into energy (Energy,Waste & Pollution,Food & Agriculture);Pellenc ST: Optical sorting machines to recycle large amounts of waste quickly and accurately (Waste & Pollution);RT7000: A machine to chemically recycle plastic waste back into oil (Industry & Consumer Goods,Waste & Pollution);BIO DISPERSIS LC: Recycle vinasse, a polluting residue from the alcohol industry, into organic additives for concrete (Waste & Pollution,Industry & Consumer Goods);",/companies/view/arqlite
548,https://solarimpulse.com/solutions-explorer/virtuo-optiscale?queryID=e3d0a9013b0796a2f0996318d4335c81,Virtuo® OptiScale,A digital brain to process control system for minimizing the primary oxide scale,"Oxide scale is both a product quality, a productivity and an environmental issue. Steelmakers spend time and money trying to achieve their desired surface quality and remove oxide scale from the furnace. Virtuo® OptiScale is an advanced new digital tool designed to achieve oxide scale efficiently and intelligently. Using lasers and infrared cameras, it scans the steel slab as it passes through the furnace and automatically adjusts furnace parameters to reduce oxide scale and prevent non-adherent oxide scaling. Even better, the software uses machine learning to continually evolve its understanding so that it can predict scale loss for all products being heated in the furnace. The modelling is automatically updated with the latest information from the furnace. With this technology, scale loss can be reduced by up to 30% and the related quality, cost, maintenance and environmental concerns are minimized.","March 22, 2021",Fives,France,Initial market commercialization,"Visibility, Credibility",BusinessManufacturingMetals & Steel,"Metal, Steel, Sensors & monitoring, Software, Industrial materials, Manufacturing, Industrial process heat, Industrial burner","Industry/Goods, Manufacturing and construction processes",,"5% to 30% reduction on the scale loss for slab reheating furnaces;Optimize the steel product surface quality;6065 tons of yearly savings on the steel production for a 380 t/h reheating furnace;2,1 GWh of annual savings for a 380 t/h reheating furnace;",More than 2 M€ of annual savings for a 380 t/h flat product reheating furnace;Payback time under 1 year;,Asia,Turkey,"Claranor: Pulsed light packaging sterilization equipment for bioindustries (Industry & Consumer Goods);RT7000: A machine to chemically recycle plastic waste back into oil (Industry & Consumer Goods,Waste & Pollution);Aluminium recycling system: An aluminium melting and recycling furnace powered by renewable biomass briquettes (Industry & Consumer Goods);Nexelia: Iron melting by supersonic oxygen injection into shaft furnaces for the metal industry (Industry & Consumer Goods);",/companies/view/fives
549,https://solarimpulse.com/solutions-explorer/darwin?queryID=e3d0a9013b0796a2f0996318d4335c81,Darwin,A digital tool dedicated to operational efficiency of renewable energy farms,"Renewable energy sources raise new challenges for asset operators, asset managers and owners. The generation fleets are now composed of rather small, diverse and decentralized assets. The production is hard to predict because depending on random external conditions whereas the electrical grids require visibility and flexibility. Darwin is ENGIE's software for renewables that enables the transition towards a zero-carbon energy mix. Darwin collects and stores the data communicated by wind, solar, hydro or biogas plants in real-time as well as third-party data like weather forecasts. The data is hosted in the cloud, analyzed and rendered in order to help the operational teams increase their revenues and optimize their costs. Darwin also makes data easily available for teams, stakeholders and other data scientists to foster innovation.","March 22, 2021",ENGIE,France,Medium and large scale commercialization,"Network, New clients, Visibility, Partners, Credibility",BusinessEnergy Utility,"Electrical grid, Software","Energy, Power and fuel distribution",,"Darwin makes renewable power plants accessible and actionable in one single platform and interface;Darwin helps users anticipating plant failure by several months;Darwin guides users in finding, analyzing and solving renewable power plant technical underperformance to keep-up plant profitability;One step towards a 100% renewable energy mix;Generate 10GWh more CO2 free renewable energy per 1GW of installed capacity;",Up to +5% of plant production;Less than 4 years payback time;,"Europe,Asia,Africa,North america,South america,Australia","Spain,Germany,Belgium,France,Italy,Netherlands,Norway,Poland,Portugal,Romania,India,Mongolia,Singapore,Egypt,Morocco,South Africa,Canada,Mexico,United States,Chile,Brazil,Peru,Australia","Cryonod: Recovering energy from natural gas networks by liquidizing industrial gases (Energy,Infrastructures);Efficient smart grid technology: Controlling the energy balance in the isolated grids (Buildings & Shelters,Energy);Biomethane for clean transportation: Production and distribution of biomethane as fuel  (Energy,Freight);VACON® NXP Grid Converter: An alternative source of marine power technology to power ships in ports (Energy,Infrastructures);",/companies/view/engie
550,https://solarimpulse.com/solutions-explorer/sb4-phoenix-solar-drone?queryID=e3d0a9013b0796a2f0996318d4335c81,SB4 Phoenix Solar Drone,A fixed-wing UAV providing actionable geospatial data collected over extensive areas,"Sunbird offers to private and public organizations the control and understanding of their lands by providing them critical information through innovative and clean automated aerial solutions. Sunbird's solution guarantees reactivity, serving ground people's efficiency and safety. The tailored data analysis is based on aerial images provided by ecological, autonomous and simple to use drones. SB4 Phoenix Solar Drone enables farmers to automatically inspect their land to monitor their resources (fauna and flora) to preserve biodiversity. It collects aerial data over thousands of hectares. Those data are automatically analyzed thanks to AI in order to provide farmers with precious insights to drive critical decisions (vegetation identification, water resources information, animal counting). ","March 22, 2021",Sunbirds,France,Initial market commercialization,"Network, New clients, Visibility, Funding, Partners, Credibility","BusinessFarming & AgricultureCrops, BusinessFarming & AgricultureForestry & Logging, BusinessFarming & AgricultureLivestock & Dairy","Drones, Livestock, Sensors & monitoring, Maintenance and inspection, Algorithms & AI","Food/Agri, Animal care, Ecosystems management",https://youtu.be/QBE1ntEaFC4,"Sunbirds set a world record, crossing the English channel twice in 2020 - flying 2h20 and 100km, and landed with batteries 100% charged;Performed more than 1000 flights, mapped 20 000ha of tropical forests and 10 000ha of desert in the Australian Bush;Only renewable resources used for the production of the drones;Remove all the CO2 emissions related to aerial inspection (surveillance, mapping) over large areas (thousands of hectars)- Fully electrical (solar battery) with less than 100W of consumption during the flight- ;Promote FSC directives in West Africa by easing forest inventory and making it 90% faster than human prospection;Preserve biodiversity by mapping hard to reach areas for animal counting (ex: counting animals located in sand dunes of Niger);","Compared to standard aerial inspections, it reduces the global costs by almost 70% thanks to electrical propulsion and full automation;Forest Inventory solution is 10 times cheaper than human prospection in West African countries like Congo or Gabon;","Africa,Australia","Sierra Leone,Niger,Mali,Republic of the Congo,Australia","Cycle Feed: Insect-based feed for West African tilapia farmers (Food & Agriculture);h-aero®: Solar-powered helium unmanned aerial vehicle for versatile monitoring activities (Food & Agriculture,Industry & Consumer Goods);Agolin® Ruminant: A plant-based feed additive to reduce enteric methane emissions from ruminants (Food & Agriculture);NEXUS: An alternative for sustainable development of smallholder farmers and fisheries communities (Food & Agriculture);",/companies/view/sunbirds
551,https://solarimpulse.com/solutions-explorer/improved-cookstove-technology?queryID=e3d0a9013b0796a2f0996318d4335c81,Improved Cookstove Technology,A programme to support clean cookstoves for healthy livelihoods,"In the world, more than 3 billion people cook with solid fuels on open fires inside their homes and in many cases, without ventilation exposing people to smoke, dust and toxic gases generated by combustion. This indoor pollution explains the significant incidence of acute respiratory and lung diseases in rural families. In response to this, Microsol developed a clean cookstove system with higher thermal performance that directly evacuates the smoke from the house through a chimney. Microsol has worked with this solution for over 12 years through two Programmes of Activities registered under the Gold Standard: Qori Q’oncha (Peru) started in 2008, which is the first improved cookstove Programme registered in the international voluntary carbon market; and Utsil Naj (Mexico, Guatemala and Honduras). 

","March 22, 2021",Microsol,Peru,Medium and large scale commercialization,"Network, New clients, Visibility, Funding, Partners","Individual, Public Authorities, Local NGO","Developing countries, Cooker & cookstove, Off-grid, Consumer-goods, Solid biomass, Biofuel","Industry/Goods, Buildings, Power and fuel generation",https://youtu.be/qTHHmv9yM5o,"More than 156,600 improved cookstoves installed ;More than 711,400 people, from vulnerable communities throughout Latin America benefitted from this smart technology;2.1M CO2e tones avoided;1.8M tones of wood saved from being harvested from local forests;","More than 25,600 verified carbon credits sold;46% savings in wood;60+ hours saved by the beneficiaries to be allocated in other economic activities;","North america,South america","Mexico,Honduras,Guatemala,Peru","Renewable gas for industrial burners: Decentralized renewable solutions for process heat in industrial processes (Industry & Consumer Goods,Energy);Stirling Engine: Stirling engine modules to generate clean electricity from waste heat locally (Energy,Industry & Consumer Goods);BASIL: Fully-integrated rooftop solar and a nano-grid to power IoT-ready DC home appliances (Buildings & Shelters);BS2 Zeleganz: A high efficient heat pump with seasonal heating, cooling and hybrid solar collectors (Buildings & Shelters,Energy);",/companies/view/microsol
552,https://solarimpulse.com/solutions-explorer/straight-from-the-farm?queryID=e4c676a0a39557badb50c6c37e74c652,Straight From the Farm ,An innovative platform delivering fresh food from the farm to the table,"The Solution intends to be the lighthouse of the food industry by disrupting the conventional food supply chain, help small farmers thrive, help consumers eat delicious, healthy and affordable food, and lead the green transition. There are a number of benefits driven through Fresh.Land’s approach: Farmers earn a larger cut on their products. Customers get healthier, pesticide free, fresh food at a competitive price. Products total CO2e emissions are lowered significantly for some by more than 46% and food waste is diminished (Climaidar, 2021). Fresh.Land’s platform shortens the food supply chain by cutting 3-5 middlemen - farmers’ trees and fields become natural “warehouses” as they harvest fresh for every shipment. Food is purchased and consumed within days instead of months, protecting food integrity, minimising waste and cutting CO2 emissions. With fewer middlemen, farmers capture more value and consumers get fresh, sustainable and chemical-free products, at competitive prices","March 22, 2021",Fresh.Land,Denmark,Small scale commercialization,"Network, New clients, Visibility, Funding, Partners, Credibility","Individual, BusinessFarming & AgricultureCrops, BusinessServicesRestaurants & Canteens, BusinessServicesRetailerFood & Supermaket, BusinessFarming & AgricultureLivestock & Dairy, BusinessFarming & AgricultureAquaculture & Fish",Software,"Food/Agri, LogisticsSell and trade",https://youtu.be/Tps9Lh5EYCQ,"For a product like the avocado, saves over 46% of CO2e emissions, compared to the mainstream alternative ;Looking solely at avocados sold in Denmark, saved 161.000 kg of CO2e in 2020;Potential to save over 780.000 kg. of CO2e in 2021, in sold avocados alone;Food waste through Fresh.Land supply chain is less than 1%;Fresh.Land lowers CO2 emissions from cold storage by 88% ;","With no middlemen, farmers receive 20-50% better prices and have better payment terms;Competitiveness: Comparing 13 different products with three providers in Denmark, Fresh.Land is the 2nd cheapest option;",Europe,"Sweden,Denmark","Premium Hortus: A clean technology platform for scaling up agroecology and sustainable development (Food & Agriculture);SMK Tomato Paste: Processing of fresh tomato to paste to reduce post-harvest losses (Food & Agriculture);Too Good To Go: Business to consumer platform aiming to fight food waste (Food & Agriculture,Waste & Pollution);Wasteless: A dynamic pricing engine to reduce food waste in retail (Food & Agriculture);",/companies/view/fresh-land
553,https://solarimpulse.com/solutions-explorer/the-terrapod?queryID=e4c676a0a39557badb50c6c37e74c652,The TERRAPOD,A sustainable foundation and floor system for buildings without the use of concrete,"The TERRAPOD is a developed, sustainable & profitable concrete free foundation & floor system for the construction sector. Concrete has served us well for the last century and since world war 2 with the invention of steel reinforced concrete, it has become the most used material in the world. Concrete’s impact on the environment has only come into focus in recent years and its only now we realize an alternative is urgently required due to unfolding climate crisis. Concrete alone, produces 8-11% of the world’s carbon dioxide emissions. Japan is one of the most seismic active regions in the world, over the centuries the Japanese developed the Ishiba-tate building technique (post and beam timber-frame which sits on stone foundations) designed to withstand earthquakes. The Terratonics system takes this ancient Japanese style foundation system ""Ishiba-tate"" into the 21st century, creating a fast, affordable and sustainable building system","March 22, 2021",Terratonics,Ireland,Prototype testing in the real world,"Funding, Network, New clients, Visibility, Partners, Credibility",BusinessConstruction,"Construction, Concrete alternatives, Construction materials","Buildings, Materials and chemicals",https://youtu.be/OyWb4xJsKHs,Compressive strength 2 times that of concrete ;Tensile strength 5 times greater than concrete;The smallest model has been load tested to 40 tonnes without failure;Reduces carbon emissions by 90%;Reduces water consumption in foundations by 100%;Reduces sand usage by 100%;,Potential to reduce costs by up to 27% per average semi detached house;Up to 10 times faster to build when compared to traditional concrete strip foundations;Reduces site deliveries by up to 75%;,Europe,Ireland,"SopraStar: Reducing urban warming by using solar reflective cool roof membrane (Buildings & Shelters);IPSIIS : Insulation based on mineral foam for better energy conservation (Buildings & Shelters,Waste & Pollution);Sopratec III: Energy efficient building airtightness system (Buildings & Shelters);Pavatex: 100% bio-sourced energy-efficient thermal insulation of buildings (Buildings & Shelters,Waste & Pollution);",/companies/view/terratonics
554,https://solarimpulse.com/solutions-explorer/hydrologis?queryID=e4c676a0a39557badb50c6c37e74c652,HydroloGIS,Identifying opportunities for ecosystem services in landscape systems,"The Solution identifies, ranks and prioritises all potential solutions (considering woodland, agroforestry, semi-natural grassland and water retention features) to river flooding, diffuse pollution and erosion/siltation. The model outputs can also be combined to solve multiple additional problems: groundwater, pluvial and sewer flooding; drought; targeting agricultural management improvements; reverse auctions; irrigation. HydroloGIS added value is unique in the fact that its results cannot be created using standard GIS or hydrological methods because these cannot identify what type of interventions to create; they cannot prioritise or rank solutions; and they often suggest spending resources in inefficient locations. This solution exclusively uses open source or client data; control modelling by local constraints and aspirations; and integrate with standard ecosystem service modelling (such as biodiversity, carbon, pollination or recreation).","March 22, 2021",Angus Middleton,United Kingdom,Small scale commercialization,"Network, New clients, Visibility, Funding, Partners, Credibility","Public Authorities, Local NGO, BusinessFarming & AgricultureCrops, BusinessWater Utility","Flooding, Software, Natural disaster, Sensors & monitoring","Infrastructures, Water, Ecosystems management",https://youtu.be/CPoh6JiurFU,"Prevents underperformance of nature-based projects by up to 50% compared to other planning systems;Outputs are perfect for participatory design, so reduce consultation times and objections by up to 2 years;Works at a high 5m resolution from farm scales up to entire countries;Over 3000sqkm of natural interventions already identified to solve local problems;Nature-based Solutions can save 95% carbon emissions of hard engineered solutions to achieve same protection;Intelligent use of natural solutions crowds-in funding for nature, potentially unlocking $billions worldwide;","Stops the up to 50% failure of nature-based projects for water that standard design techniques deliver;The projects deliver a cost-benefit ratio of 1:30, even when considering direct benefits alone;The £10/sqkm base price makes it highly affordable for small organisations and NGOs;","Europe,North america","United Kingdom,France,Turks and Caicos Islands,Montserrat,Anguilla","IOT flood alert: A smart device-based solution for information, anticipation and alert of flood risks (Water,Infrastructures);Breeze Technologies Environmental Intelligence: Smart sensors for air quality monitoring and improvement (Buildings & Shelters,Infrastructures,Waste & Pollution);Air Pollution Abatement (APA): A smart multiservice platform for air pollution abatement (Buildings & Shelters,Infrastructures,Waste & Pollution);Urban vegetation monitoring: Supporting cities and planners with an inventory of the ecological status of the territory (Infrastructures);",/companies/view/angus-middleton
555,https://solarimpulse.com/solutions-explorer/amelios-suite?queryID=e4c676a0a39557badb50c6c37e74c652,AMELIOS Suite,A comprehensive digital solution for carbon anode management and reduction in primary aluminium production,"The AMELIOS Suite is a comprehensive digital solution, allowing to master the whole anode fabrication process, which is a necessary step in the aluminium production process. It also leads to the optimization of the carbon anode consumption during primary aluminium production. The solution consists of a set of software that collects, synchronize and compile all the anode data including anode properties from advanced sensors, from raw material to return butts. The expected results are in the range of 35 to 70 kg CO2 per ton of aluminium produced. Intended for primary aluminium producers with on-site carbon anode production, the solution can be adopted as a complete set or by sub-packages in order to achieve excellence in the field of anode fabrication, once the equipment are basically operated and the processes locally mastered.","March 22, 2021",Fives,France,Prototype testing in the real world,Visibility,BusinessManufacturingMetals & Steel,"Aluminum, Sensors & monitoring, Software, Manufacturing","Industry/Goods, Manufacturing and construction processes",,"Optimization of specific net carbon consumption by ensuring the best quality of the anode;Avoidance of ‘carbon dusting’ crisis which degrade aluminium production performance for a significant period;Average reduction of 35 to 70 kg CO2 per ton of aluminium produced, by avoiding an excessive consumption of carbon anodes generated by a lack of process control;",Potential reduction of 2.5% of the total anode production cost;Payback can range from 2 to 4 years depending on the present performance of the smelter and its size;,"Europe,Asia,North america","France,Bahrain,India,Saudi Arabia,Canada","Claranor: Pulsed light packaging sterilization equipment for bioindustries (Industry & Consumer Goods);RT7000: A machine to chemically recycle plastic waste back into oil (Industry & Consumer Goods,Waste & Pollution);Aluminium recycling system: An aluminium melting and recycling furnace powered by renewable biomass briquettes (Industry & Consumer Goods);Nexelia: Iron melting by supersonic oxygen injection into shaft furnaces for the metal industry (Industry & Consumer Goods);",/companies/view/fives
